microsample	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	fastp_total_before_filtering.total_reads	fastp_total_after_filtering.total_reads	fastp_total_low_quality_reads	fastp_total_adapter_trimmed_reads	fastp_total_total_polyx_trimmed_reads	fastp_total_polyx_trimmed_reads.A	fastp_total_polyx_trimmed_reads.T	fastp_total_polyx_trimmed_reads.C	fastp_total_polyx_trimmed_reads.G	fastp_total_before_filtering.total_bases	fastp_total_after_filtering.total_bases	fastp_total_adapter_trimmed_bases	fastp_total_total_polyx_trimmed_bases	fastp_total_polyx_trimmed_bases.A	fastp_total_polyx_trimmed_bases.T	fastp_total_polyx_trimmed_bases.C	fastp_total_polyx_trimmed_bases.G	fastp_avg_before_filtering.gc_content	fastp_avg_after_filtering.gc_content	fastp_avg_duplication.rate	raw_sequences_chicken	raw_sequences_human	raw_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_sequences_bacteria	reads_mapped_bacteria	reads_unmapped_bacteria	mapbac_counts_unfilt	mapbac_counts_filt	genome_count_filtering30
M300153	Caecum	NegativeCollection	MSEB0001	A001aI131Z	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	NA	BEST_v24	43773792	98882	256162	40969601	96858	86471	5291	26	5070	6566068800	13101730	2933041616	1382062	1243280	49749	337	88696	0.740507	0.43952599999999997	0.943819	98882	31670	31290	67019	377	108	31863	31293	31182	31178	12918	18260	12918	0	excluded
M300154	Caecum	Positive	MSEB0001	A001aI131B	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v24	7094176	5018008	103960	5208393	23764	15959	4878	826	2101	1064126400	643143120	245725455	600256	480883	50309	10940	58124	0.539983	0.470321	0.284257	5018008	4070664	4070528	945014	116	77	4072994	4070548	4070451	4070392	1645299	2425093	1645299	822635	retained
M300155	Caecum	NegativeCollection	MSEB0001	A001aI131Z	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v24	33702146	208	172454	31098639	66675	56361	6994	4	3316	5055321900	25673	2229369206	917026	784684	65646	41	66655	0.74225	0.46917	0.923147	208	192	192	16	0	0	192	192	192	192	0	192	0	0	excluded
M300156	Caecum	Positive	MSEB0001	A001aI131B	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	NA	BEST_v24	9739368	2716490	231686	8953128	46297	36039	5865	525	3868	1460905200	304258140	563443143	1448590	1258242	61699	7116	121533	0.64942	0.453727	0.606391	2716490	1562772	1562640	1148943	113	188	1567547	1562659	1562452	1562314	595921	966393	595921	77745	retained
M300157	Caecum	NegativeCollection	MSEB0001	A001aI131Z	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	22	NA	BEST_v24	45260	0	120	41538	64	48	11	0	5	6789000	0	2970348	858	643	111	0	104	0.742019	0	0.835882	0	0	NA	0	0	NA	0	0	NA	0	0	0	NA	NA	not processed
M300158	Caecum	NegativeCollection	MSEB0001	A001aI131Z	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	NA	BEST_v24	21293430	1645198	105862	19224431	39267	32082	4537	253	2395	3194014500	229153460	1356440994	543509	450211	49405	2636	41257	0.720571	0.478361	0.871396	1645198	907382	905990	735083	1364	2663	910115	906018	903327	903156	407669	495487	407669	112769	retained
M300159	Caecum	Positive	MSEB0001	A001aI131C	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v24	18659634	15979218	123936	4891235	79523	42540	31452	2732	2799	2798945100	2325726533	246567735	1178069	738900	370096	31140	37933	0.496343	0.458231	0.22467	15979218	6525928	6525062	9391504	645	1411	6587714	6525283	6523651	6523428	2923243	3600185	2923243	2069659	retained
M300160	Caecum	Positive	MSEB0001	A001aI131C	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v24	10759396	10158768	85250	3847922	32694	16627	10949	2646	2472	1613909400	1413966464	147142596	541636	354040	121398	32051	34147	0.508024	0.503189	0.116538	10158768	6917474	6917130	3212303	267	438	6946465	6917207	6916692	6916630	3021020	3895610	3021020	2088498	retained
M300161	Caecum	Positive	MSEB0001	A001aI131C	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v24	4630268	3162632	54270	3633342	16154	10155	4240	441	1318	694540200	391147926	182584736	362175	285229	43601	5613	27732	0.523189	0.464234	0.176377	3162632	2176604	2176480	983542	111	36	2179090	2176493	2176444	2176426	850479	1325947	850479	306143	retained
M300162	Caecum	NegativeCollection	MSEB0001	A001aI131Z	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	16	NA	BEST_v24	50480078	290704	334934	46754465	132330	118415	7819	56	6040	7572011700	39789950	3342840191	1837577	1654708	74503	807	107559	0.739306	0.427558	0.94034	290704	52830	52664	237191	159	175	53513	52671	52489	52478	18810	33668	18810	0	excluded
M300163	Caecum	Positive	MSEB0001	A001aI131C	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	16	NA	BEST_v24	14284258	570564	120844	13530241	29670	22440	3235	276	3719	2142638700	49491692	967184610	549768	433210	31787	2659	82112	0.710285	0.464315	0.783189	570564	367442	367412	202726	29	24	367838	367413	367388	367376	154884	212492	154884	0	excluded
M300164	Caecum	Positive	MSEB0001	A001aI132A	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v24	5022228	2460246	130774	4708598	23188	16414	3485	432	2857	753334200	266378584	274266041	717378	595592	35733	4878	81175	0.573979	0.472883	0.310543	2460246	1778134	1778056	680192	67	86	1780054	1778067	1777970	1777902	702146	1075756	702146	154719	retained
M300165	Caecum	Positive	MSEB0001	A001aI132A	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	16	NA	BEST_v24	2422	0	2	2337	0	0	0	0	0	363300	0	167596	0	0	0	0	0	0.74213	0	0.799339	0	0	NA	0	0	NA	0	0	NA	0	0	0	NA	NA	not processed
M300166	Caecum	Positive	MSEB0001	A001aI132A	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	9	NA	BEST_v24	8268646	7700128	51702	3240745	20161	9582	7164	1705	1710	1240296900	1063137601	129382506	289305	170760	78248	19187	21110	0.517705	0.510777	0.130445	7700128	6051306	6051116	1632686	155	60	6067442	6051151	6051056	6051040	2683726	3367314	2683726	1795602	retained
M300167	Caecum	NegativeCollection	MSEB0001	A001aI132Z	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	NA	BEST_v24	27435442	4967338	163808	22634087	56008	43072	8327	1107	3502	4115316300	704155234	1568463325	781304	624221	83436	13508	60139	0.70143200000000006	0.526936	0.786092	4967338	4950752	4949622	16510	1103	11898	4950828	4949649	4937724	4936632	2263484	2673148	2263484	1510590	retained
M300168	Caecum	Positive	MSEB0001	A001aI132B	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v24	9261324	8616652	72312	3714197	23215	11693	7380	2008	2134	1389198600	1185594173	147720333	379494	249780	77773	24215	27726	0.520443	0.514508	0.0952749	8616652	7270898	7270730	1323932	130	305	7292720	7270768	7270425	7270374	3269518	4000856	3269518	2351602	retained
M300169	Caecum	Positive	MSEB0001	A001aI132B	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	9	NA	BEST_v24	10302004	9415964	265540	2849965	74357	49994	17631	2838	3894	1545300600	1336388552	117591787	2067912	1691045	203422	45243	128202	0.465798	0.454307	0.0985931	9415964	6324178	6323754	3027700	299	254	6388264	6323879	6323500	6323264	2462710	3860554	2462710	1671075	retained
M300170	Caecum	Positive	MSEB0001	A001aI132C	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v24	18920926	16708484	596902	6680527	124354	88949	19891	7057	8457	2838138900	2324987985	292676425	3920002	3310648	210159	125818	273377	0.492635	0.480435	0.139185	16708484	16677242	16677030	29944	125	671	16678540	16677117	16676359	16675696	6712321	9963375	6712321	5343851	retained
M300171	Caecum	NegativeCollection	MSEB0001	A001aI132Z	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	21	NA	BEST_v24	29147140	2931090	580400	23951523	141419	114496	13180	3733	10010	4372071000	416124273	1682503478	2958084	2475135	131711	73958	277280	0.712503	0.485352	0.850126	2931090	2882216	2879486	48211	2684	2855	2882879	2879532	2876631	2876164	1216249	1659915	1216249	0	excluded
M300172	Caecum	Positive	MSEB0001	A001aI132C	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v24	946322	720828	88272	152577	16341	12207	2053	554	1527	141948300	105419984	7061317	529083	430625	27280	11301	59877	0.483186	0.435223	0.362384	720828	220644	220500	490998	120	70	229830	220524	220430	220388	86729	133659	86729	0	excluded
M300173	Caecum	Positive	MSEB0001	A001aI133A	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v24	23436572	20782294	1762642	3526480	348249	279187	34596	14691	19775	3515485800	3023830375	116618834	12925361	11336707	405885	254781	927988	0.479135	0.467933	0.231417	20782294	17713244	17712416	2916509	481	2065	17865785	17712763	17710351	17708312	6679995	11028317	6679995	5205956	retained
M300174	Caecum	NegativeCollection	MSEB0001	A001aI133Z	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v24	27524096	12825950	192858	16414383	66549	45866	14389	2622	3672	4128614400	1839647585	1064530419	1003178	758698	154940	33887	55653	0.628228	0.503757	0.764779	12825950	12501826	12419796	321787	81669	72633	12504163	12420157	12347163	12339440	4877474	7461966	4877474	2372302	retained
M300175	Caecum	NegativeCollection	MSEB0001	A001aI133Z	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v24	19816940	11267648	146972	11319315	48058	30470	11829	2491	3268	2972541000	1579135472	678005257	762004	562014	123733	29768	46489	0.608485	0.515342	0.645181	11267648	11154080	11141448	112506	12510	47660	11155142	11141570	11093788	11088640	5010835	6077805	5010835	2834720	retained
M300176	Caecum	Positive	MSEB0001	A001aI133B	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	9	NA	BEST_v24	13901172	13411432	116054	3842983	52171	25553	18594	4040	3984	2085175800	1900624484	137735225	772400	453400	217456	50149	51395	0.496831	0.492965	0.114828	13411432	6730672	6729790	6530322	649	219	6881110	6730023	6729571	6729478	2924027	3805451	2924027	2002415	retained
M300177	Caecum	NegativeCollection	MSEB0001	A001aI133Z	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	18	NA	BEST_v24	43801700	73034	397190	39940688	150026	125326	14705	34	9961	6570255000	9803311	2861425617	2050452	1736286	138532	659	174975	0.740242	0.467516	0.898474	73034	60534	56882	12434	3639	994	60600	56895	55888	55880	19812	36068	19812	0	excluded
M300178	Caecum	NegativeCollection	MSEB0001	A001aI133Z	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	19	NA	BEST_v24	41962122	1345350	425912	37201862	159438	135259	18341	408	5430	6294318300	193711202	2650260036	2324450	2020223	184373	6666	113188	0.730653	0.425259	0.895641	1345350	99020	95498	1239124	3465	3010	106226	95555	92488	92416	26487	65929	26487	0	excluded
M300179	Caecum	Positive	MSEB0001	A001aI133B	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	NA	BEST_v24	21189934	18313588	1631846	4519261	318599	241525	42261	13563	21250	3178490100	2631605262	170478328	10901097	9221604	531646	249342	898505	0.472593	0.45523	0.191979	18313588	11008508	11007214	7099055	838	1564	11214533	11007670	11005650	11004204	4253641	6750563	4253641	3070731	retained
M300180	Caecum	NegativeCollection	MSEB0001	A001aI133Z	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	19	NA	BEST_v24	49205680	331708	455494	44352627	159448	140334	10685	263	8166	7380852000	46428214	3170676741	2287868	2008147	100746	4877	174098	0.738977	0.480925	0.92647	331708	293030	291636	38331	1322	3501	293377	291708	288135	287982	114432	173550	114432	0	excluded
M300181	Caecum	Positive	MSEB0001	A001aI133B	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	NA	BEST_v24	15089656	12807096	1537480	2336984	327074	270198	28132	12085	16659	2263448400	1859485753	79984335	13407720	12044243	345590	214000	803887	0.482176	0.469098	0.229595	12807096	8364338	8363462	4313573	567	1388	8493523	8363771	8362074	8360754	3259623	5101131	3259623	2108798	retained
M300182	Caecum	Positive	MSEB0001	A001aI133B	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	7	NA	BEST_v24	15111014	14603680	120618	3006818	64961	32073	25621	3934	3333	2266652100	2108009961	109919145	919919	529634	297374	49044	43867	0.471761	0.466512	0.100045	14603680	6519174	6518262	8025840	670	254	6577840	6518504	6518008	6517908	2882575	3635333	2882575	2086148	retained
M300183	Caecum	Positive	MSEB0001	A001aI133B	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	10	NA	BEST_v24	12265394	11860960	95488	2505184	43360	21829	15490	3113	2928	1839809100	1710681969	90482015	663880	415147	174486	36704	37543	0.487625	0.483219	0.105239	11860960	5867996	5867324	5936935	487	265	5924025	5867509	5867059	5866968	2650154	3216814	2650154	1936050	retained
M300184	Caecum	Positive	MSEB0001	A001aI133B	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v24	12887746	12473936	109620	3373846	45454	24051	14738	3626	3039	1933161900	1777256975	114937723	818694	566219	166787	45240	40448	0.5005	0.496783	0.118511	12473936	7143526	7142880	5281988	484	445	7191948	7143042	7142435	7142330	3217475	3924855	3217475	2289740	retained
M300185	Caecum	Positive	MSEB0001	A001aI133B	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v24	14921722	13997510	427328	3141936	107935	68399	28179	4546	6811	2238258300	2014522665	113795261	2594941	1965236	330784	73383	225538	0.45708	0.448482	0.108779	13997510	8124938	8124238	5764466	496	376	8233044	8124442	8123862	8123538	3208873	4914665	3208873	2255557	retained
M300186	Caecum	Positive	MSEB0001	A001aI133C	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v24	9369142	8451290	230336	3252725	49779	30588	11907	2997	4287	1405371300	1176493774	138487462	1195162	893913	131807	47512	121930	0.485436	0.472973	0.108551	8451290	7266990	7266754	1157663	170	187	7293627	7266820	7266567	7266400	2921561	4344839	2921561	1982838	retained
M300187	Caecum	Positive	MSEB0001	A001aI133C	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v24	15378876	13290198	1204578	3575117	260183	206891	30291	8425	14576	2306831400	1898148032	137647340	9972510	8815978	372814	146554	637164	0.47278	0.458277	0.163541	13290198	7917812	7916948	5190022	555	1070	8100176	7917257	7915878	7914872	3010258	4904614	3010258	2041070	retained
M300188	Caecum	Positive	MSEB0001	A001aI133C	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v24	15532194	13296720	1323978	2970286	221521	163287	27516	12040	18678	2329829100	1920851170	107622154	7248567	5927572	348129	223320	749546	0.480407	0.461563	0.171126	13296720	9170180	9169432	3995303	477	1262	9301417	9169703	9168170	9166956	3467481	5699475	3467481	2408094	retained
M300189	Caecum	NegativeCollection	MSEB0001	A001aI133Z	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	25	NA	BEST_v24	20490726	7979666	1403722	10445218	259834	201344	29019	2297	27174	3073608900	1165383945	692813344	7451661	6230618	374122	36885	810036	0.603586	0.420634	0.755652	7979666	741490	655402	7166312	85700	27427	813354	655790	627975	626872	122206	504666	122206	0	excluded
M300190	Caecum	Positive	MSEB0001	A001aI133C	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	7	NA	BEST_v24	10304208	10062664	74928	2009111	53014	26307	21595	2683	2429	1545631200	1453813774	67254535	759642	437505	258154	32473	31510	0.453739	0.449287	0.103383	10062664	2090504	2089610	7909592	654	205	2153072	2089850	2089405	2089304	858682	1230622	858682	371971	retained
M300191	Caecum	Positive	MSEB0001	A001aI133C	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	9	NA	BEST_v24	13470874	13084902	104738	3143585	33337	16138	10979	3629	2591	2020631100	1874579566	108266489	497662	301734	118001	44305	33622	0.51975	0.518042	0.126005	13084902	10763120	10762758	2280536	258	110	10804366	10762862	10762648	10762600	4916496	5846104	4916496	3818850	retained
M300192	Caecum	NegativeCollection	MSEB0001	A001aI133Z	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v24	13527744	893076	67252	12187657	24702	19829	3326	157	1390	2029161600	125919988	863874851	342718	278137	36321	1794	26466	0.723772	0.483897	0.887454	893076	891814	890324	1227	1469	15650	891849	890345	874674	873200	328272	544928	328272	59987	retained
M300193	Caecum	Positive	MSEB0002	A001aI108A	B01	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	5	NA	BEST_v24	2212238	2115258	58570	270957	16477	10893	4102	666	816	331835700	310110585	8989286	428953	344027	48020	10230	26676	0.458689	0.454033	0.100646	2115258	1131638	1131506	975680	101	39	1139578	1131537	1131467	1131434	460863	670571	460863	180731	retained
M300194	Caecum	Positive	MSEB0002	A001aI108A	B01	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	6	NA	BEST_v24	7184050	6819290	188430	848312	54975	36047	14267	2093	2568	1077607500	1001353803	30743849	1433383	1145073	170693	32175	85442	0.453772	0.44701	0.12528	6819290	3584222	3583810	3211229	315	132	3608061	3583907	3583678	3583558	1442531	2141027	1442531	889593	retained
M300195	Caecum	Positive	MSEB0002	A001aI108A	B01	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	9	NA	BEST_v24	10264704	9776256	319418	872907	91852	62586	21984	3184	4098	1539705600	1443546445	28625507	2595361	2125983	262968	49755	156655	0.447527	0.442742	0.132037	9776256	4746226	4745464	4975118	597	326	4801138	4745629	4745138	4744862	1877507	2867355	1877507	1216453	retained
M300196	Caecum	Positive	MSEB0002	A001aI108A	B01	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	14	NA	BEST_v24	6059824	3804216	102778	3045667	30716	22558	5679	938	1541	908973600	537149187	173849211	683061	567570	63314	14942	37235	0.565682	0.470903	0.401238	3804216	2430124	2429128	1368336	961	137	2435880	2429163	2428991	2428932	1022428	1406504	1022428	499061	retained
M300197	Caecum	Positive	MSEB0002	A001aI108A	B01	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	16	NA	BEST_v24	9521558	7491412	228844	3400949	61584	44423	11570	2598	2993	1428233700	1071286049	166113791	1743695	1470850	131862	45902	95081	0.518576	0.467087	0.477661	7491412	4588266	4583066	2890738	5103	1074	4600674	4583163	4581992	4581786	1915385	2666401	1915385	947325	retained
M300198	Caecum	Positive	MSEB0002	A001aI108A	B01	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	19	NA	BEST_v24	182	0	10	159	5	5	0	0	0	27300	0	10934	71	71	0	0	0	0.737985	0	0.637363	0	NA	NA	0	NA	NA	0	NA	NA	0	0	0	NA	NA	not processed
M300199	Caecum	NegativeLysis	MSEB0002	A001aI108Y	B01	NA	NA	NA	NA	NA	NA	21	NA	BEST_v24	2	2	0	0	0	0	0	0	0	300	300	0	0	0	0	0	0	0.336667	0.336667	0	2	NA	NA	1	NA	NA	1	NA	NA	0	0	0	NA	NA	not processed
M300200	Caecum	NegativeMebrane	MSEB0002	A001aI108M	B01	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	15	NA	BEST_v24	2	0	0	2	0	0	0	0	0	300	0	139	0	0	0	0	0	0.746667	0	0	0	NA	NA	0	NA	NA	0	NA	NA	0	0	0	NA	NA	not processed
M300201	Caecum	Positive	MSEB0002	A001aI108B	B02	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	5	NA	BEST_v24	2864544	2755320	58828	343264	20958	12526	6741	742	949	429681600	404101018	11759221	443360	321176	81201	10496	30487	0.441032	0.435727	0.121543	2755320	919516	919282	1824009	160	49	931311	919356	919233	919194	364834	554360	364834	83192	retained
M300202	Caecum	Positive	MSEB0002	A001aI108B	B02	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	7	NA	BEST_v24	5831382	5528286	152436	822372	44186	26140	13631	1793	2622	874707300	807574254	29725007	944280	670913	165408	27328	80631	0.447548	0.439423	0.131713	5528286	1935118	1934798	3570456	217	143	1957830	1934901	1934655	1934550	772856	1161694	772856	361288	retained
M300203	Caecum	Positive	MSEB0002	A001aI108B	B02	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	11	NA	BEST_v24	9608794	9215266	139740	1561450	57001	34108	18530	2036	2327	1441319100	1343088806	54296456	1142294	829540	218104	28340	66310	0.451495	0.443694	0.166462	9215266	3542280	3541718	5646780	422	167	3568486	3541858	3541551	3541444	1434606	2106838	1434606	795825	retained
M300204	Caecum	Positive	MSEB0002	A001aI108B	B02	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	14	NA	BEST_v24	10082570	7316266	214694	3344842	70522	47773	17685	1871	3193	1512385500	1067010012	196531106	1560658	1225377	212018	27970	95293	0.515671	0.438286	0.353892	7316266	2628748	2627976	4660556	643	253	2655710	2628105	2627723	2627604	1044564	1583040	1044564	511897	retained
M300205	Caecum	Positive	MSEB0002	A001aI108B	B02	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	17	NA	BEST_v24	11197904	4796566	185420	6689869	66003	49488	12470	1081	2964	1679685600	692329283	435138293	1360867	1124299	141839	16104	78625	0.609889	0.440748	0.698778	4796566	1847664	1844786	2934426	2761	852	1862140	1844903	1843934	1843836	736210	1107626	736210	29854	retained
M300206	Caecum	Positive	MSEB0002	A001aI108B	B02	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	17	NA	BEST_v24	29686378	25430	368280	26907923	146050	126873	13118	11	6048	4452956700	2815868	1888684377	2075315	1850351	121649	187	103128	0.741255	0.480177	0.93633	25430	15940	15810	9465	128	222	15965	15812	15588	15580	6449	9131	6449	0	excluded
M300207	Caecum	NegativeLysis	MSEB0002	A001aI110Y	B02	NA	NA	NA	NA	NA	NA	18	NA	BEST_v24	23523140	9372	340148	21236784	131892	113994	11550	8	6340	3528471000	1214696	1491035427	1819039	1602967	107440	258	108374	0.741454	0.450921	0.908371	9372	6442	4906	2920	1532	1024	6452	4910	3882	3862	804	3058	804	0	excluded
M300208	Caecum	NegativeMebrane	MSEB0002	A001aI110M	B02	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	18	NA	BEST_v24	15480	118	228	13368	82	71	9	0	2	2322000	15574	935148	1162	1058	80	0	24	0.738329	0.425453	0.79186	118	14	14	104	0	4	14	14	10	10	10	0	10	0	excluded
M300209	Caecum	Positive	MSEB0002	A001aI110C	B03	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	8	NA	BEST_v24	193676692	182635994	7101872	20786063	1923521	1299206	459555	67742	97018	29051503800	26847072206	677178123	52296396	41856107	5628050	1120697	3691542	0.441813	0.434812	0.192367	182635994	57067612	57052272	124585829	10465	5711	58050165	57057147	57046561	57041802	22814942	34226860	22814942	20798066	retained
M300210	Caecum	Positive	MSEB0002	A001aI110C	B03	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	10	NA	BEST_v24	9627830	8954736	442388	976379	98802	64388	23295	4353	6766	1444174500	1317810948	31607735	2573754	1949576	288568	75994	259616	0.447316	0.438152	0.131687	8954736	2878810	2878128	6030299	467	336	2924437	2878343	2877792	2877510	1164993	1712517	1164993	664342	retained
M300211	Caecum	Positive	MSEB0002	A001aI110C	B03	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	13	NA	BEST_v24	8752056	8098302	411752	955279	100460	70841	20682	3478	5459	1312808400	1190665269	32243026	3007770	2464521	255678	60242	227329	0.448354	0.438933	0.170305	8098302	2703132	2702456	5354430	464	278	2743872	2702668	2702178	2701936	1094878	1607058	1094878	585618	retained
M300212	Caecum	Positive	MSEB0002	A001aI110C	B03	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	16	NA	BEST_v24	6469574	5887628	401746	591070	81349	57389	15567	2693	5700	970436100	867758980	19054503	2439549	1965968	192727	45349	235505	0.447252	0.4367	0.221343	5887628	1885232	1884672	3965165	435	297	1922463	1884797	1884375	1884138	750016	1134122	750016	282314	retained
M300213	Caecum	Positive	MSEB0002	A001aI110C	B03	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	20	NA	BEST_v24	12431560	10982044	843210	947926	189242	139351	34787	4390	10714	1864734000	1628650448	40154903	6039104	5030423	438540	77458	492683	0.440111	0.423382	0.590889	10982044	3123230	3121078	7778869	1885	615	3203175	3121345	3120463	3119960	1181276	1938684	1181276	0	excluded
M300214	Caecum	Positive	MSEB0002	A001aI110C	B03	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	21	NA	BEST_v24	10422894	8727346	782138	960531	173310	131261	28094	3807	10148	1563434100	1298872728	52968290	5745862	4854723	348305	64600	478234	0.455058	0.426216	0.607134	8727346	2503876	2497546	6155703	5972	769	2571643	2497904	2496777	2496296	962410	1533886	962410	0	excluded
M300215	Caecum	NegativeLysis	MSEB0002	A001aI113Y	B03	NA	NA	NA	NA	NA	NA	26	NA	BEST_v24	21246130	515466	540372	18604863	166869	142204	12280	500	11885	3186919500	73965447	1299620881	2363383	2016681	117107	7473	222122	0.732766	0.416273	0.880178	515466	494330	290490	21006	202630	17969	494460	291700	272521	272370	2144	270226	2144	0	excluded
M300216	Caecum	NegativeMebrane	MSEB0002	A001aI211M	B03	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	18	NA	BEST_v24	7808790	7142604	132806	1189086	56448	33988	18711	1616	2133	1171318500	1051931650	52196195	1129519	829351	225195	21206	53767	0.457135	0.435746	0.521929	7142604	1251664	1235644	5862936	15767	871	1279668	1235897	1234773	1234648	455096	779552	455096	38421	retained
M300217	Caecum	Positive	MSEB0002	A001aI113B	B04	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	9	NA	BEST_v24	5812084	5479364	218688	515285	63402	43895	14745	1940	2822	871812600	808654309	16503662	1814057	1484614	180803	31967	116673	0.434214	0.427338	0.140991	5479364	1506614	1506136	3933030	325	165	1546334	1506289	1505971	1505846	575496	930350	575496	248648	retained
M300218	Caecum	Positive	MSEB0002	A001aI113B	B04	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	8	NA	BEST_v24	9038962	8181470	591576	971935	143344	108184	23550	4757	6853	1355844300	1202246198	32215270	4925882	4232967	298251	87815	306849	0.4427	0.43285	0.122702	8181470	2384176	2383488	5745317	459	408	2436153	2383717	2383080	2382722	923312	1459410	923312	462318	retained
M300219	Caecum	Positive	MSEB0002	A001aI113B	B04	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	14	NA	BEST_v24	11565776	10896024	446318	1052384	116095	77829	28617	3425	6224	1734866400	1608169398	32393795	3034799	2391726	348783	53863	240427	0.434257	0.427057	0.228307	10896024	3047536	3046778	7794336	511	338	3101688	3047025	3046440	3046164	1165779	1880385	1165779	579097	retained
M300220	Caecum	Positive	MSEB0002	A001aI113B	B04	NA	NA	NA	Lid1_Axygen_7320675	NA	NA	18	NA	BEST_v24	9150298	8230372	471220	936386	110558	77006	23883	2978	6691	1372544700	1216117611	37552302	3211220	2584670	296480	51268	278802	0.440896	0.423658	0.486219	8230372	2229780	2229084	5953517	521	337	2276855	2229259	2228747	2228472	842221	1386251	842221	0	excluded
